"time","target.protein","efflux.DNA","efflux.mRNA","efflux.protein","drug","target.dimer","efflux.dimer","volume","generation","target.protein.concentration","efflux.mRNA.concentration","efflux.protein.concentration","drug.concentration","target.dimer.concentration","efflux.dimer.concentration","fraction.bound.targets"
243.45,332.49308658164,0.048780487804878,0.135174714002953,14.9309719501288,5.32670909121782,31.6455852933609,0.000115602222135765,4.11251170752123,0,80.849152592941,0.0328691377961884,3.63062114153305,1.29524472391799,7.69495324122371,2.81098828057667e-05,0.0869053131061674
243.675,334.273094845608,0.048780487804878,0.135345954649049,15.0258987138858,5.36719615401801,31.8655770293936,0.00011641173279934,4.14111648856174,0,80.7205244694058,0.0326834454000245,3.62846559747575,1.29607466219384,7.69492409049834,2.81111949207136e-05,0.0870314432130578
243.9,336.051905981686,0.048780487804878,0.135511936463581,15.1209437958997,5.40815453915833,32.086765893315,0.000117226696810142,4.16992023158863,0,80.5895286523644,0.0324974889056702,3.62619497642981,1.29694436315343,7.69481527494131,2.81124554666796e-05,0.0871594546964896
244.125,337.829512903129,0.048780487804878,0.135672820946231,15.2161035624174,5.44958855828697,32.3091589718716,0.000118047124409508,4.19892432049197,0,80.4562042841361,0.0323113279951506,3.62380990963766,1.2978534839724,7.69462760121529,2.81136584990123e-05,0.0872893362052769
244.35,339.60590848468,0.048780487804878,0.135828764636991,15.3113744912782,5.49150256655245,32.5327633903211,0.000118873026407357,4.22813014878753,0,80.3205900797701,0.0321250197740346,3.62131106481405,1.29880168616078,7.69436186812989,2.8114798320824e-05,0.0874210767357407
244.575,341.381085563742,0.048780487804878,0.135979919268486,15.4067531684866,5.53390096426167,32.7575863112587,0.000119704414182406,4.25753911968374,0,80.1827243313976,0.0319386188701859,3.61869914412697,1.29978863580536,7.69401886639435,2.81158694770369e-05,0.0875546656192838
244.8,343.155036941457,0.048780487804878,0.1361264319136,15.5022362848909,5.57678819843965,32.9836349335446,0.000120541299681711,4.28715264614914,0,80.0426449125132,0.0317521775288018,3.61597488226027,1.30081400377682,7.69359937840599,2.81168667483733e-05,0.0876900925106307
245.025,344.927755383678,0.048780487804878,0.136268445128584,15.5978206329629,5.6201687642994,33.2109164913237,0.000121383695418858,4.31697215098022,0,79.9003892821864,0.0315657457038825,3.61313904455493,1.30187746590472,7.69310417807136,2.81177851451501e-05,0.087827347376684
245.25,346.699233621871,0.048780487804878,0.136406097091762,15.6935031036773,5.6640472066294,33.4394382531304,0.00012223161447132,4.34699906686983,0,79.75599448921,0.0313793711462617,3.61019242522585,1.30297870312357,7.692534030657,2.81186199010013e-05,0.087966420485959
245.475,348.469464353929,0.048780487804878,0.136539521737972,15.7892806834864,5.70842812110578,33.6692075210723,0.000123085070476957,4.37723483647595,0,79.6094971761846,0.0311930994883287,3.60713584565139,1.30411740159264,7.691889692667,2.81193664665364e-05,0.0881073023985533
245.7,350.238440244915,0.048780487804878,0.136668848888894,15.8851504513884,5.75331615553574,33.9002316300858,0.000123944077629772,4.40768091249107,0,79.4609335835458,0.0310069743255651,3.60397015273291,1.30529325279224,7.69117191174497,2.81200205029639e-05,0.088249983956619
245.925,352.006153927743,0.048780487804878,0.136794204379356,15.9811095760848,5.79871601103836,34.1325179472579,0.000124808650675017,4.43833875771195,0,79.3103395535336,0.0308210372950162,3.6006962173215,1.30650595359866,7.69038142659798,2.81205778757092e-05,0.0883944562753018
246.15,353.772598003792,0.048780487804878,0.136915710179778,16.077155313226,5.84463244316829,34.3660738712091,0.000125678804903735,4.46920984510989,0,79.1577505341089,0.0306353281508112,3.59731493270947,1.30775520633997,7.68951896694036,2.81210346480485e-05,0.0885407107341177
246.375,355.537765043469,0.048780487804878,0.137033484514844,16.1732850027406,5.8910702629875,34.600906831532,0.000126554556146791,4.50029565790153,0,79.0032015828167,0.0304498848368426,3.59382721318407,1.30904071883457,7.68858525345559,2.81213870747779e-05,0.0886887389687376
246.6,357.30164758672,0.048780487804878,0.137147641978539,16.2694960662477,5.93803433808996,34.8370242882812,0.000127435920768493,4.5315976896201,0,78.8467273706007,0.0302647435567117,3.59023399264105,1.31036220441444,7.68758099777425,2.81216315959364e-05,0.0888385328631548
246.825,359.064238143491,0.048780487804878,0.137258293645644,16.3657860045479,5.98552959358344,35.0744337315104,0.000128322915659828,4.56311744418716,0,78.6883621855697,0.0300799388410426,3.58653622325584,1.31171938193444,7.68650690246661,2.81217648305974e-05,0.0889900845422092
247.05,360.825529194149,0.048780487804878,0.137365547179814,16.4621523951914,6.03356101303284,35.3131426808525,0.000129215558231397,4.59485643598489,0,78.5281399367175,0.0298955036122624,3.58273487421001,1.31311197576939,7.68536366104837,2.81217835707417e-05,0.089143386364448
247.275,362.585513189862,0.048780487804878,0.137469506938331,16.5585928901214,6.0821336393684,35.5531586851387,0.000130113866406083,4.62681618992882,0,78.3660941575983,0.0297114692469437,3.57883093047103,1.31453971580011,7.68415195799807,2.81216847752244e-05,0.0892984309152991
247.5,364.344180424782,0.048780487804878,0.137570269119351,16.6551053245532,6.13125344528946,35.7944914502186,0.000131018166524079,4.65899824154111,0,78.202257553174,0.0295278645724161,3.57482541548332,1.31600252402357,7.6828729255709,2.81215316537104e-05,0.0894552163191075
247.725,184.04993804496,0.048780487804878,0.0709952097547361,8.37660580499493,3.09954779500452,18.0193978925412,6.61622809246601e-05,2.34570206851216,0,78.4626234147885,0.0302660814038363,3.57104421633054,1.32137317718721,7.68187833162062,2.82057477856196e-05,0.0891743312212127
