"survive","param.index","mutant.effect","drug.outsideConcentration.MULT","efflux.binom.param","extinction.time","extinction.time.sd","num.reps","cell.type"
0,"105",2,1.2,0.6,114.047713897329,85.2149635735463,1000,"REG-ON"
0.014,"106",10,1.2,0.6,201.101341591872,207.569914413177,1000,"REG-ON"
0.731,"107",50,1.2,0.6,99.3787559837335,86.9674463473627,1000,"REG-ON"
0.869,"108",200,1.2,0.6,62.6666420595256,56.8854389042759,1000,"REG-ON"
0,"109",2,1.3,0.6,91.3255726910759,64.9065348786059,1000,"REG-ON"
0,"110",10,1.3,0.6,138.092295673297,123.49960039668,1000,"REG-ON"
0.542,"111",50,1.3,0.6,143.645075007045,145.916842979683,1000,"REG-ON"
0.836,"112",200,1.3,0.6,66.2136669549219,60.2124517317976,1000,"REG-ON"
0,"113",2,1.4,0.6,76.6346459775279,49.2919750128788,1000,"REG-ON"
0,"114",10,1.4,0.6,111.362200774881,88.2917938700119,1000,"REG-ON"
0.351,"115",50,1.4,0.6,184.552597690918,192.110616685733,1000,"REG-ON"
0.768,"116",200,1.4,0.6,93.140805679858,84.8726411222985,1000,"REG-ON"
0,"117",2,1.5,0.6,69.3816797423379,42.3894531408267,1000,"REG-ON"
0,"118",10,1.5,0.6,94.0592698653914,76.971581695841,1000,"REG-ON"
0.129,"119",50,1.5,0.6,230.458927157525,242.509982656515,1000,"REG-ON"
0.665,"120",200,1.5,0.6,107.463442500736,104.880776870784,1000,"REG-ON"
0,"121",2,1.75,0.6,54.3461572084485,31.3633168018253,1000,"REG-ON"
0,"122",10,1.75,0.6,70.1928399950346,44.737791848878,1000,"REG-ON"
0,"123",50,1.75,0.6,132.119731871816,112.20822973059,1000,"REG-ON"
0.205,"124",200,1.75,0.6,217.681539644755,229.509168143838,1000,"REG-ON"
0,"125",2,2,0.6,46.1648114287931,26.5268574592713,1000,"REG-ON"
0,"126",10,2,0.6,55.9965174792356,34.0912334341338,1000,"REG-ON"
0,"127",50,2,0.6,93.9888828767457,72.7934025750408,1000,"REG-ON"
0.006,"128",200,2,0.6,170.422982481291,166.023634054375,1000,"REG-ON"
0,"129",2,2.25,0.6,41.9868994580444,22.5583127738931,1000,"REG-ON"
0,"130",10,2.25,0.6,48.0054117140462,28.3457069113978,1000,"REG-ON"
0,"131",50,2.25,0.6,76.3614149402052,58.5931532458093,1000,"REG-ON"
0,"132",200,2.25,0.6,108.515941200655,89.2291004646148,1000,"REG-ON"
0,"133",2,2.5,0.6,36.5684283684752,19.5827483258556,1000,"REG-ON"
0,"134",10,2.5,0.6,43.5321429179084,25.2216871202393,1000,"REG-ON"
0,"135",50,2.5,0.6,62.390888676502,38.355975057303,1000,"REG-ON"
0,"136",200,2.5,0.6,83.8230994504302,62.7439652034298,1000,"REG-ON"
