"sim.label","sample.time","num.cells","param.index","kappa","MIC.fraction","drug.outsideConcentration.MULT"
73,60,127,41,1,0.08321406,3.98107170553497
73,70,86,41,1,0.08321406,3.98107170553497
73,80,32,41,1,0.08321406,3.98107170553497
73,90,20,41,1,0.08321406,3.98107170553497
73,100,10,41,1,0.08321406,3.98107170553497
73,110,5,41,1,0.08321406,3.98107170553497
73,120,2,41,1,0.08321406,3.98107170553497
74,0,1000,41,1,0.08321406,3.98107170553497
74,10,893,41,1,0.08321406,3.98107170553497
74,20,601,41,1,0.08321406,3.98107170553497
74,30,667,41,1,0.08321406,3.98107170553497
74,40,357,41,1,0.08321406,3.98107170553497
74,50,298,41,1,0.08321406,3.98107170553497
74,60,126,41,1,0.08321406,3.98107170553497
74,70,88,41,1,0.08321406,3.98107170553497
74,80,33,41,1,0.08321406,3.98107170553497
74,90,16,41,1,0.08321406,3.98107170553497
74,100,4,41,1,0.08321406,3.98107170553497
74,110,1,41,1,0.08321406,3.98107170553497
75,0,1000,41,1,0.08321406,3.98107170553497
75,10,903,41,1,0.08321406,3.98107170553497
75,20,617,41,1,0.08321406,3.98107170553497
75,30,674,41,1,0.08321406,3.98107170553497
75,40,318,41,1,0.08321406,3.98107170553497
75,50,268,41,1,0.08321406,3.98107170553497
75,60,110,41,1,0.08321406,3.98107170553497
75,70,88,41,1,0.08321406,3.98107170553497
75,80,36,41,1,0.08321406,3.98107170553497
75,90,18,41,1,0.08321406,3.98107170553497
75,100,10,41,1,0.08321406,3.98107170553497
75,110,2,41,1,0.08321406,3.98107170553497
75,120,2,41,1,0.08321406,3.98107170553497
75,130,1,41,1,0.08321406,3.98107170553497
76,0,1000,41,1,0.08321406,3.98107170553497
76,10,911,41,1,0.08321406,3.98107170553497
76,20,619,41,1,0.08321406,3.98107170553497
76,30,722,41,1,0.08321406,3.98107170553497
76,40,340,41,1,0.08321406,3.98107170553497
76,50,274,41,1,0.08321406,3.98107170553497
76,60,123,41,1,0.08321406,3.98107170553497
76,70,70,41,1,0.08321406,3.98107170553497
76,80,25,41,1,0.08321406,3.98107170553497
76,90,12,41,1,0.08321406,3.98107170553497
76,100,7,41,1,0.08321406,3.98107170553497
76,110,4,41,1,0.08321406,3.98107170553497
76,120,2,41,1,0.08321406,3.98107170553497
76,130,1,41,1,0.08321406,3.98107170553497
77,0,1000,41,1,0.08321406,3.98107170553497
77,10,893,41,1,0.08321406,3.98107170553497
77,20,595,41,1,0.08321406,3.98107170553497
