"sample.time","num.cells","param.index","mutant.effect","drug.outsideConcentration.MULT","cell.type"
30,49082,"27",50,0.398107170553497,"REG-ON"
40,48395,"27",50,0.398107170553497,"REG-ON"
50,91935,"27",50,0.398107170553497,"REG-ON"
60,92622,"27",50,0.398107170553497,"REG-ON"
70,117499,"27",50,0.398107170553497,"REG-ON"
80,175548,"27",50,0.398107170553497,"REG-ON"
90,174588,"27",50,0.398107170553497,"REG-ON"
100,328912,"27",50,0.398107170553497,"REG-ON"
110,322056,"27",50,0.398107170553497,"REG-ON"
120,537688,"27",50,0.398107170553497,"REG-ON"
130,605603,"27",50,0.398107170553497,"REG-ON"
140,724153,"27",50,0.398107170553497,"REG-ON"
150,1136968,"27",50,0.398107170553497,"REG-ON"
160,1141299,"27",50,0.398107170553497,"REG-ON"
170,2043483,"27",50,0.398107170553497,"REG-ON"
180,2080914,"27",50,0.398107170553497,"REG-ON"
0,20000,"28",200,0.398107170553497,"REG-ON"
10,19989,"28",200,0.398107170553497,"REG-ON"
20,19919,"28",200,0.398107170553497,"REG-ON"
30,39450,"28",200,0.398107170553497,"REG-ON"
40,38970,"28",200,0.398107170553497,"REG-ON"
50,74516,"28",200,0.398107170553497,"REG-ON"
60,75542,"28",200,0.398107170553497,"REG-ON"
70,96707,"28",200,0.398107170553497,"REG-ON"
80,145131,"28",200,0.398107170553497,"REG-ON"
90,145523,"28",200,0.398107170553497,"REG-ON"
100,276581,"28",200,0.398107170553497,"REG-ON"
110,272848,"28",200,0.398107170553497,"REG-ON"
120,459429,"28",200,0.398107170553497,"REG-ON"
130,521627,"28",200,0.398107170553497,"REG-ON"
140,629118,"28",200,0.398107170553497,"REG-ON"
150,995622,"28",200,0.398107170553497,"REG-ON"
160,1007104,"28",200,0.398107170553497,"REG-ON"
170,1820131,"28",200,0.398107170553497,"REG-ON"
180,1868740,"28",200,0.398107170553497,"REG-ON"
0,86000,"29",2,0.501187233627272,"REG-ON"
10,85840,"29",2,0.501187233627272,"REG-ON"
20,84846,"29",2,0.501187233627272,"REG-ON"
30,164638,"29",2,0.501187233627272,"REG-ON"
